		
A2 =========== 		
30	I0		A 9.3	
31	I1		KM1
32	I2		KM2
33	I3		KM3
34	I4		KM4
35	I5		KM5
36	I6		KM6
37	I7		KM9
38	I8		KM10
39	I9		KM11
40	I10		KM12
41	I11		KM13
42	I12		KM14
43	I13		KM15
44	I14		KM16
45	I15		KM17
46	I16		KM18
47	I17		QF3
48	I18		QF4
49	I19		B_1_380
50	I20		B_2_380
51	I21		T3_Bosh
52	I22		T3_45_102
53	I23		T3_75_102
54	I24		T3_126
55	I25		Tp_K1_i
56	I26		Tp_c02_i
57	I27		Tp_c03_i
58	I28		Tp_c04_i
59	I29		Tp_K2_i
60	I30		Tp_K3_i
61	I31		Tp_K4_i
		
A3 =========== 		
62	I0		Tp_K5_i
63	I1		Tp_K6_i
64	I2		Tp_K7_i
65	I3		Tp_K8_i
66	I4		Tp_K9_i
67	I5		Tp_K10_i
68	I6		Tp_KP11_i
69	I7		Tp_KP12_i
70	I8		Dp_Pb_i
71	I9		Dr_Zch_i
72	I10		601_Рб_i
73	I11		601_Зщ_i
74	I12		УСМгот_i
75	I13		УСМпр_i
76	I14		УСМлин_i
77	I15		B_Om 1_i
78	I16		B_Om 2_i
79	I17		B_Кож_i
80	I18		102_Om 1_i
81	I19		102_Om 2_i
82	I20		102_Кож_i
83	I21		126_Кож_i
84	I22		Воздух_i
85	I23		Di1_i
86	I24		Di2_i
87	I25		Di3_i
88	I26		Di4_i
89	I27		Di5_i
90	I28		Di6_i
91	I29		Di7_i
92	I30		Di8_i
93	I31		Di9_i
		
A4 =========== 		
130	Q0	KL1
131	Q1	KL2
132	Q2	KL3
133	Q3	KL4
134	Q4	KL5
135	Q5	KL6
136	Q6	KL7
137	Q7	KL8
138	Q8	KL9
139	Q9	KL10
140	Q10	KL11
141	Q11	KL12
142	Q12	KL13
143	Q13	KL14
144	Q14	KL15
145	Q15	KL16
146	Q16	KL17
147	Q17	KL18
148	Q18	KL19
149	Q19	KL20
150	Q20	KL21
151	Q21	KL22
152	Q22	KL23
153	Q23	KL24
154	Q24	KL25
155	Q25	KL26
156	Q26	KL27
157	Q27	KL28
158	Q28	KL29
159	Q29	KL30
160	Q30	KL31
161	Q31	KL32
		
A5 =========== 		
162	Q0	KL33
163	Q1	KL34
164	Q2	KL35
165	Q3	KL36
166	Q4	KL37
167	Q5	KL38
168	Q6	KL39
169	Q7	KL40
170	Q8	KL41
171	Q9	KL42
172	Q10	KL43
173	Q11	KL44
174	Q12	KL45
175	Q13	KL46
176	Q14	KL47
177	Q15	KL48
178	Q16	KL49
179	Q17	KL50
180	Q18	KL51
181	Q19	KL52
182	Q20	KL53
183	Q21	KL54
184	Q22	KL55
185	Q23	KL56
186	Q24	KL57
187	Q25	KL58
188	Q26	KL59
189	Q27	KL60
190	Q28	KL61
191	Q29	KL62
192	Q30	KL63
193	Q31	KL64
		
A6 =========== 		
230	I0+		Ур 2.1.1_+
231	I0-		Ур 2.1.1_-
232	I1+		Ур 2.1.2_+
233	I1-		Ур 2.1.2_-
234	I2+		Ур 1_+
235	I2-		Ур 1_-
236	I3+		Ур 2_+
237	I3-		Ур 2_-
238	I4+		Ур 3_+
239	I4-		Ур 3_-
240	I5+		Ai1_+
241	I5-		Ai1_-
242	I6+		Ai2_+
243	I6-		Ai2_-
244	I7+		Ai3_+
245	I7-		Ai3_-
